SETTORE,SOTTOCATEGORIA,AZIENDA,PROVINCIA,SITO,TELEFONO,MAIL_GENERICA,NOME_DECISORE,RUOLO,LINKEDIN_DECISORE,SEGNALI_CRM,PRIORITA,FONTE_VERIFICA,DATA_INSERIMENTO
Agroalimentare Montano,Distribuzione formaggi/salumi per HORECA-GDO,Tessaro S.p.A. (Gruppo Madia),Belluno,https://www.tessaroformaggi.it,0439 56347,info@tessaroformaggi.it,n.d.,Amministratore Delegato,n.d.,"Distribuzione B2B specializzata Ho.Re.Ca., GDO",ALTA,https://www.tessaroformaggi.it/azienda/storia-e-valori/,seed-import
Agroalimentare Montano,Ingrosso alimentare cash\&carry per HORECA,Valbelluna Due Cash & Carry S.r.l.,Belluno,https://valbelluna.eu,0437 31070,info@valbelluna.eu,Denis Venturin,Titolare,https://it.linkedin.com/in/denis-venturin-57a669138,Cash\&carry all'ingrosso dedicato a HORECA,ALTA,https://valbelluna.eu,seed-import
Lattiero-caseario,Cooperativa lattiero-casearia (GDO/HORECA/Export),Lattebusche S.c.a.,Belluno,https://www.lattebusche.com,\+39 0439 3191,info@lattebusche.it,Antonio Bortoli,Direttore Generale,n.d.,"Cooperativa leader, 6 stabilimenti, rete retail ""Bar Bianco""",ALTA,https://www.lattebusche.com/contatti/,seed-import
Legno/Arredo,"Segheria industriale e costruzioni in legno (centro taglio, strutture industriali)",Brancher S.r.l. (Brancher Legnami),Belluno,https://www.brancherlegnami.com,0437 757104,info@brancherlegnami.com,n.d.,n.d.,n.d.,"Azienda leader locale/nazionale da oltre 60 anni, 3 brand (Forwood, Structura, Kokkola)",ALTA,https://www.brancherlegnami.com/azienda/,seed-import
Legno/Arredo,"Segheria industriale, centro taglio e carpenteria legno",F.lli Saviane di Pompeo S.r.l. (Saviane Industria Legnami),Belluno,https://www.savianelegno.it,0437 4215,info@savianelegno.it,Elia Saviane,Responsabile Commerciale,n.d.,"Reparti distinti con referenti dedicati, sede di 20.000 mq, attiva dal 1945",ALTA,https://www.savianelegno.it/contatti/,seed-import
Legno/Arredo,"Segheria e carpenteria legno (coperture, strutture prefabbricate)",Fausti Legnami S.r.l.,Belluno,https://www.faustilegnami.com,0435 77377,info@faustilegnami.com,Mario Fausti,Contitolare - responsabile rapporti commerciali,n.d.,"Gestione familiare con ruoli distinti e coordinati, oltre 40 anni di attività",ALTA,https://www.faustilegnami.com/chi-siamo/,seed-import
Legno/Arredo,"Produzione e vendita mobili, divisione Contract (arredo commerciale/hospitality)",Gruppo Fontana Ivo S.a.s. di Fontana Giampaolo & C. (Ivo Fontana Mobili),Belluno,https://www.ivofontana.it,0437 998441,info@ivofontana.it,Giampaolo Fontana,Titolare (socio accomandatario),n.d.,"75 anni di attività, divisione ""Contract"" per clienti business/hospitality",ALTA,https://www.ivofontana.it/contatti/,seed-import
Legno/Arredo,Falegnameria industriale conto terzi (allestimenti negozi/GDO),"Quarzago S.n.c. di Quarzago Alessandro, Sonia & C.",Belluno,https://www.quarzago.it,0437 754341,quarzago@quarzago.it,Alessandro Quarzago,Titolare (socio),n.d.,"Clientela B2B ricorrente (negozi, GDO), lavorazione conto terzi",ALTA,https://www.quarzago.it/,seed-import
Manifattura,Occhialeria - Produzione e distribuzione su licenza,GO Eyewear Italy S.r.l.,Belluno,goeyeweargroup.com,\+39 0437 184 8040,info.it@goeyeweargroup.com,n.d. (CEO di GO Eyewear Group Europe: Raffaella Da Riz),n.d.,n.d.,"Licenza brand Trussardi (2024/2025); gruppo con filiali commerciali in Portogallo, Spagna, Francia, UK, USA, Cina; espositore MIDO",ALTA,https://www.b2eyes.com/news/trussardi-affida-gli-occhiali-go-eyewear ; https://www.mido.com/en/exhibitor-list/go-eyewear-italy-srl ; https://goeyeweargroup.com/contact,seed-import
Manifattura,"Astucci occhiali, packaging di lusso, pelletteria",Giorgio Fedon & Figli S.p.A. (Fedon Group),Belluno,www.fedongroup.com,0437 9823,n.d.,Callisto Fedon,Amministratore Delegato,https://it.linkedin.com/company/giorgio-fedon-&-figli-spa,"Gruppo con oltre 1.500 dipendenti, 3 stabilimenti produttivi (Italia, Romania, Cina) e filiali commerciali in Francia, USA, Hong Kong, Spagna, Germania; rete distributiva con flagship store; clienti B2B principali = negozi ottici",ALTA,https://www.fedongroup.com/en/fedon/group.html ; https://platform-optic.it/news/giorgio-fedon-figli-callisto-fedon-amministratore-delegato/,seed-import
